,Corona,Covid,Flu,Hand Sanitizer,Mask,Virus,Cases
0,1,0,18,1,4,28,0
1,11,0,30,1,10,34,0
2,12,0,27,2,8,42,0
3,7,0,20,2,9,38,0
4,10,0,41,1,10,42,0
5,21,0,20,2,9,60,0
6,17,0,18,2,8,56,0
7,15,0,16,1,9,49,0
8,12,0,14,1,10,35,0
9,3,0,14,1,10,26,0
10,11,0,23,1,8,44,0
11,7,0,23,1,11,30,0
12,4,0,32,1,8,26,0
13,9,0,20,1,4,28,0
14,4,0,45,1,6,20,0
15,4,0,38,1,6,16,0
16,9,0,25,1,10,36,0
17,13,0,19,1,14,32,0
18,10,0,33,1,9,58,0
19,4,3,25,2,14,22,0
20,2,1,26,2,11,28,0
21,5,1,24,2,13,34,0
22,5,1,35,2,10,14,0
23,7,1,21,2,7,30,0
24,1,1,26,2,4,14,0
25,5,2,27,2,8,24,0
26,6,1,30,2,8,18,0
27,5,1,21,1,8,24,0
28,1,2,19,2,11,18,0
29,2,3,25,1,7,26,0
30,2,5,25,1,4,8,0
31,4,2,8,1,9,20,0
32,6,4,31,1,5,30,0
33,17,8,32,2,4,100,0
34,36,13,39,2,13,176,0
35,45,13,73,5,15,234,0
36,78,19,63,2,16,264,0
37,50,16,50,2,18,198,0
38,28,14,41,3,19,62,0
39,43,25,50,10,17,94,0
40,44,24,52,10,16,79,0
41,47,33,41,14,15,87,0
42,50,36,75,18,27,104,0
43,80,61,65,21,17,118,0
44,86,48,56,27,20,132,1.0
45,50,38,68,25,21,103,0.0
46,114,78,122,40,18,231,0.5
47,218,121,120,51,36,332,0.5
48,286,207,160,64,23,442,0.0
49,630,528,267,89,40,1051,3
50,400,580,179,69,26,736,2.5
51,309,289,123,55,28,452,13
52,230,272,95,49,18,467,12.0
53,296,368,124,57,23,541,9.5
54,266,371,106,46,18,644,17.0
55,250,373,107,28,24,648,13.0
56,214,362,126,28,26,536,14.0
57,209,461,79,28,37,448,34.0
58,177,427,68,40,37,348,24.0
59,151,267,66,26,47,384,44.5
60,149,337,85,16,32,391,76.5
61,186,322,49,22,50,386,41.5
62,142,254,38,13,34,315,47.0
63,142,342,56,21,35,303,60.5
64,152,343,37,16,54,278,75.0
65,123,265,39,12,46,270,121.5
66,120,269,39,15,50,269,113.0
67,117,287,39,18,53,263,89.5
68,115,293,39,20,64,258,82.0
69,113,302,39,23,69,294,125.5
70,112,314,43,16,55,301,62.5
71,110,329,31,13,76,258,170.0
72,99,252,46,7,134,255,180.0
73,76,305,68,5,112,233,180.0
74,78,357,51,7,101,230,70
